"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"NCF1",7.96903549497261e-13,-1.24881568148691,0.54,0.649,1.85766186423306e-08,"NCF1","Up in Influenza"
"CTSB",8.71511256965881e-13,-0.662994878734722,0.415,0.593,2.03157989111316e-08,"CTSB","Up in Influenza"
"XRCC5",8.73432582489795e-13,-0.51184259262712,0.489,0.626,2.03605869304196e-08,"XRCC5","Up in Influenza"
"CD44",1.01260680510702e-12,-0.508044235497481,0.65,0.762,2.36048772338498e-08,"CD44","Up in Influenza"
"SLCO3A1",1.07391148073108e-12,-0.801475017363981,0.24,0.368,2.50339505273222e-08,"SLCO3A1","Up in Influenza"
"EHBP1L1",1.14215037218147e-12,-0.77149256242636,0.328,0.474,2.66246673259223e-08,"EHBP1L1","Up in Influenza"
"STK38",1.28386710930587e-12,-0.960894887909628,0.192,0.328,2.99282261850292e-08,"STK38","Up in Influenza"
"JPT1",1.48262311995464e-12,-0.80578124037252,0.376,0.571,3.45614275492626e-08,"JPT1","Up in Influenza"
"STAT1",1.82803251397168e-12,-1.3078745026997,0.3,0.544,4.26132659331937e-08,"STAT1","Up in Influenza"
"ACTN4",1.8933402261047e-12,-0.748256015914957,0.355,0.543,4.41356540107266e-08,"ACTN4","Up in Influenza"
"GRINA",2.54485539181396e-12,-0.705790986437564,0.351,0.482,5.93231240385753e-08,"GRINA","Up in Influenza"
"FOS",2.63517724518358e-12,-1.36482691136604,0.5,0.616,6.14286167624744e-08,"FOS","Up in Influenza"
"LGALS2",2.67922994451956e-12,-1.31983411328853,0.165,0.334,6.24555292366954e-08,"LGALS2","Up in Influenza"
"TMEM173",2.68557535320663e-12,-1.22145529738427,0.214,0.4,6.26034470585997e-08,"TMEM173","Up in Influenza"
"NCKAP1L",2.74997479491559e-12,-0.54628936782881,0.405,0.551,6.41046624442773e-08,"NCKAP1L","Up in Influenza"
"MEGF9",2.782349731722e-12,-1.07339344846951,0.254,0.406,6.48593545961715e-08,"MEGF9","Up in Influenza"
"MPEG1",3.11529689445653e-12,-0.560549026998483,0.319,0.453,7.26206859066762e-08,"MPEG1","Up in Influenza"
"PREX1",3.28477121615581e-12,-0.56507124143348,0.332,0.454,7.65713018198081e-08,"PREX1","Up in Influenza"
"PTAFR",3.33181327594906e-12,-0.914116453455345,0.195,0.332,7.76678992756484e-08,"PTAFR","Up in Influenza"
"PPT1",3.53541227459385e-12,-0.917154197449101,0.335,0.493,8.24139955330572e-08,"PPT1","Up in Influenza"
"TNFSF10",3.65931645453587e-12,-1.01540207953218,0.269,0.467,8.53023258716856e-08,"TNFSF10","Up in Influenza"
"ATP2B1-AS1",3.68668498549085e-12,-1.03434171408144,0.247,0.418,8.59403136967773e-08,"ATP2B1-AS1","Up in Influenza"
"SPTLC2",3.74174762685855e-12,-1.0762299488322,0.228,0.38,8.72238789296997e-08,"SPTLC2","Up in Influenza"
"RPS6KA1",4.01044457536731e-12,-0.982006075253576,0.275,0.459,9.34874734963874e-08,"RPS6KA1","Up in Influenza"
"VAMP8",4.02481222770543e-12,-0.568177828707267,0.587,0.759,9.38223978400414e-08,"VAMP8","Up in Influenza"
"NDUFS2",5.45757262514607e-12,-0.533998779040574,0.274,0.377,1.2722147546478e-07,"NDUFS2","Up in Influenza"
"CRIP1",5.71605063697507e-12,-1.02905267617729,0.415,0.599,1.33246856398526e-07,"CRIP1","Up in Influenza"
"PPP1R18",6.8652906992683e-12,-0.59240519029579,0.445,0.637,1.60036791490643e-07,"PPP1R18","Up in Influenza"
"ITGB7",7.25481702158894e-12,-1.3913167881299,0.197,0.349,1.6911703959026e-07,"ITGB7","Up in Influenza"
"GIMAP7",7.28833830473488e-12,-0.920830768192825,0.271,0.524,1.69898454221675e-07,"GIMAP7","Up in Influenza"
"IFI16",8.1471279424044e-12,-0.805581079030725,0.402,0.592,1.89917699465389e-07,"IFI16","Up in Influenza"
"OSTF1",8.25041918890552e-12,-0.627790449142226,0.434,0.613,1.92325521712577e-07,"OSTF1","Up in Influenza"
"RBM47",8.64652846020467e-12,-1.01690756922693,0.214,0.339,2.01559224935831e-07,"RBM47","Up in Influenza"
"CLU",9.39026843467223e-12,2.22870052790856,0.436,0.315,2.18896547480644e-07,"CLU","Up in Severe COVID"
"TXNDC17",9.46445513062622e-12,-0.611056939397086,0.333,0.494,2.20625913550028e-07,"TXNDC17","Up in Influenza"
"LILRB3",1.12822600174286e-11,-0.854557626070354,0.278,0.419,2.63000763266278e-07,"LILRB3","Up in Influenza"
"C4orf48",1.13037625095955e-11,-0.576287768160661,0.426,0.589,2.63502007861182e-07,"C4orf48","Up in Influenza"
"CD53",1.17749129200569e-11,-0.570639171138944,0.607,0.771,2.74484995079447e-07,"CD53","Up in Influenza"
"LST1",1.20489849119372e-11,-0.566075327503438,0.436,0.589,2.80873887282169e-07,"LST1","Up in Influenza"
"ABRACL",1.27447289856896e-11,-0.655396043502014,0.389,0.552,2.97092377385411e-07,"ABRACL","Up in Influenza"
"KLRD1",1.30653026834464e-11,-1.39205804642721,0.13,0.336,3.04565270853818e-07,"KLRD1","Up in Influenza"
"DUSP1",1.34573560073485e-11,-0.824914537140025,0.641,0.765,3.137044258873e-07,"DUSP1","Up in Influenza"
"AP1S2",1.45509716878114e-11,-0.634135875190273,0.408,0.552,3.39197701014571e-07,"AP1S2","Up in Influenza"
"RGS19",1.57639651884586e-11,-0.690655572294779,0.371,0.534,3.67473792508159e-07,"RGS19","Up in Influenza"
"SUN2",1.63055143542796e-11,-0.573195529351418,0.38,0.502,3.80097845112612e-07,"SUN2","Up in Influenza"
"GLIPR1",1.75727908033047e-11,-0.56616143192249,0.413,0.565,4.09639326415837e-07,"GLIPR1","Up in Influenza"
"CPVL",1.81768514759344e-11,-0.591473742103088,0.263,0.391,4.23720584755507e-07,"CPVL","Up in Influenza"
"TUBA4A",1.99846358835211e-11,2.00873604722767,0.484,0.362,4.65861847080761e-07,"TUBA4A","Up in Severe COVID"
"PSMA5",2.0371700045633e-11,-0.772016737767003,0.337,0.512,4.7488469976375e-07,"PSMA5","Up in Influenza"
"JAML",2.40530342796103e-11,-0.771695351609924,0.291,0.423,5.60700282091997e-07,"JAML","Up in Influenza"
"ATP2B4",2.86562935314787e-11,-1.37255209236714,0.123,0.267,6.68006858512301e-07,"ATP2B4","Up in Influenza"
"TSPAN14",2.88197097571606e-11,-0.795212097801625,0.31,0.485,6.71816254149171e-07,"TSPAN14","Up in Influenza"
"LAP3",3.19250524358666e-11,-1.04258309161061,0.285,0.457,7.44204897332486e-07,"LAP3","Up in Influenza"
"SLC31A2",4.04505409483441e-11,-1.12487207400864,0.162,0.284,9.42942560046849e-07,"SLC31A2","Up in Influenza"
"MTRNR2L12",4.26069496458646e-11,1.44429781408791,0.679,0.589,9.93210603194751e-07,"MTRNR2L12","Up in Severe COVID"
"NEDD8",4.69063739869923e-11,-0.504163541188422,0.584,0.747,1.09343448401078e-06,"NEDD8","Up in Influenza"
"NDUFB2",6.53342388324663e-11,-0.557986953312797,0.516,0.674,1.52300644142362e-06,"NDUFB2","Up in Influenza"
"GUK1",6.57454631078638e-11,-0.564127069366569,0.643,0.803,1.53259249050741e-06,"GUK1","Up in Influenza"
"STK10",7.52049216113753e-11,-0.526318926977154,0.351,0.473,1.75310192768277e-06,"STK10","Up in Influenza"
"APBB1IP",7.61441034336304e-11,-0.910258901614775,0.351,0.53,1.77499519514136e-06,"APBB1IP","Up in Influenza"
"LILRA5",1.21763427529223e-10,-0.590935512786793,0.305,0.443,2.83842725913372e-06,"LILRA5","Up in Influenza"
"FKBP15",1.31410442084062e-10,-1.07543713715668,0.162,0.281,3.06330881542156e-06,"FKBP15","Up in Influenza"
"SRI",1.35374158166902e-10,-0.712966900239551,0.368,0.515,3.15570700102866e-06,"SRI","Up in Influenza"
"SNHG8",1.37648144440844e-10,1.20542925929301,0.463,0.298,3.20871589506052e-06,"SNHG8","Up in Severe COVID"
