"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"HSH2D",8.91508022411793e-05,-0.633713010261717,0.19,0.286,1,"HSH2D","Up in Healthy"
"CENPC",8.95740265631472e-05,-0.512649195516666,0.272,0.367,1,"CENPC","Up in Healthy"
"FBXO3",9.50402703902805e-05,-0.853047842719819,0.166,0.274,1,"FBXO3","Up in Healthy"
"ABT1",9.59134623335467e-05,-0.644033710494636,0.222,0.314,1,"ABT1","Up in Healthy"
"AKAP17A",9.63629944652294e-05,-0.565854175518899,0.226,0.314,1,"AKAP17A","Up in Healthy"
"MIS18BP1",9.64830466831043e-05,-0.503441305889383,0.324,0.447,1,"MIS18BP1","Up in Healthy"
"MYL6",9.6685957052618e-05,0.621768093439517,0.907,0.951,1,"MYL6","Up in Severe"
"SFT2D2",0.000100544122158954,-0.523571745552694,0.267,0.368,1,"SFT2D2","Up in Healthy"
"ZRANB2",0.000101725788810585,-0.615543981339725,0.346,0.491,1,"ZRANB2","Up in Healthy"
"PIM1",0.00010441154894583,1.03772693910836,0.378,0.294,1,"PIM1","Up in Severe"
"SFSWAP",0.000104440545469135,-0.541113340088841,0.263,0.353,1,"SFSWAP","Up in Healthy"
"MLLT6",0.000106675474060942,-0.568965369477664,0.238,0.353,1,"MLLT6","Up in Healthy"
"P2RY8",0.000112226611689606,-0.580151297632007,0.191,0.282,1,"P2RY8","Up in Healthy"
"SIK3",0.00011496696852222,-0.612116043275605,0.227,0.324,1,"SIK3","Up in Healthy"
"HIF1A",0.000123474180132334,0.69977914270738,0.458,0.388,1,"HIF1A","Up in Severe"
"XPA",0.000140432743240086,-0.512842634858073,0.208,0.271,1,"XPA","Up in Healthy"
"BUB3",0.000148760272802502,-0.565438311723234,0.281,0.383,1,"BUB3","Up in Healthy"
"USP36",0.000149977129738886,-0.724326061379794,0.165,0.256,1,"USP36","Up in Healthy"
"TERF1",0.000150255458753055,-0.872741565211368,0.173,0.279,1,"TERF1","Up in Healthy"
"IFITM3",0.000153526859509893,1.49096127171935,0.477,0.373,1,"IFITM3","Up in Severe"
"SNN",0.000156818196046731,1.12269983775027,0.281,0.237,1,"SNN","Up in Severe"
"GNPTAB",0.000159790917898615,-0.654478026248779,0.265,0.368,1,"GNPTAB","Up in Healthy"
"EML4",0.000160949295808476,-0.613804955240947,0.368,0.494,1,"EML4","Up in Healthy"
"NSMCE3",0.000166828976033584,-0.539682830588556,0.23,0.344,1,"NSMCE3","Up in Healthy"
"SPSB3",0.000169115570623979,-0.62766747240777,0.252,0.376,1,"SPSB3","Up in Healthy"
"CD6",0.000173663552296552,-0.87548599891885,0.133,0.255,1,"CD6","Up in Healthy"
"NHLRC3",0.000186583718093937,-0.85847344995161,0.152,0.25,1,"NHLRC3","Up in Healthy"
"SNRK",0.000188992102317737,-0.559122024313054,0.253,0.359,1,"SNRK","Up in Healthy"
"TRIM8",0.000191911610121346,-0.534803770607388,0.29,0.383,1,"TRIM8","Up in Healthy"
"NAA38",0.000203293667998223,1.2706680645055,0.485,0.437,1,"NAA38","Up in Severe"
"CD36",0.000205516019412624,0.917575887788173,0.314,0.213,1,"CD36","Up in Severe"
"MRPS6",0.000221956501251119,-0.594571778398818,0.19,0.282,1,"MRPS6","Up in Healthy"
"RILPL2",0.000243799098016486,0.878614236158325,0.449,0.37,1,"RILPL2","Up in Severe"
"IFI27L2",0.000249450724686622,0.879651548026434,0.423,0.383,1,"IFI27L2","Up in Severe"
"DIDO1",0.000249485283350185,-0.695520498946936,0.173,0.271,1,"DIDO1","Up in Healthy"
"SERPINB1",0.000258309935945984,1.10491452886951,0.606,0.571,1,"SERPINB1","Up in Severe"
"CDC123",0.000274328336008981,-0.575113294975153,0.204,0.281,1,"CDC123","Up in Healthy"
"FPR1",0.000288187993292331,1.42798476362762,0.343,0.227,1,"FPR1","Up in Severe"
