"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"FCGR3A",4.14298616881307e-06,-0.872539950425926,0.157,0.262,0.0965771505812015,"FCGR3A","Up in Mild"
"SAR1A",4.14962229318998e-06,-0.541561837500398,0.303,0.409,0.0967318452765517,"SAR1A","Up in Mild"
"THRAP3",4.60814336272854e-06,-0.533049536470397,0.42,0.544,0.107420429928565,"THRAP3","Up in Mild"
"STK17A",4.70048297891714e-06,-0.602835020262892,0.415,0.54,0.109572958721537,"STK17A","Up in Mild"
"TTC14",4.77400983279667e-06,-0.625881851435171,0.27,0.366,0.111286943212323,"TTC14","Up in Mild"
"UTRN",4.96135994190872e-06,-0.507600155420336,0.364,0.483,0.115654261605834,"UTRN","Up in Mild"
"MECP2",5.32814751609711e-06,-0.512266569876628,0.321,0.446,0.12420444674774,"MECP2","Up in Mild"
"GOLGA4",5.68497609605712e-06,-0.525360811757284,0.348,0.462,0.132522477775188,"GOLGA4","Up in Mild"
"HIST1H1C",5.91804220508631e-06,1.5251591603912,0.326,0.226,0.137955481842767,"HIST1H1C","Up in Severe"
"SERF2",6.08126426831806e-06,0.560393795241744,0.952,0.959,0.141760351358762,"SERF2","Up in Severe"
"ITGB7",6.77818129955011e-06,-0.629370390820278,0.197,0.26,0.158006184273813,"ITGB7","Up in Mild"
"ERAP2",7.3710009729342e-06,-0.981487216665227,0.168,0.313,0.171825403680069,"ERAP2","Up in Mild"
"PPHLN1",7.45468998351638e-06,-0.563710072932208,0.307,0.428,0.17377627820575,"PPHLN1","Up in Mild"
"PARP14",7.68272803960443e-06,-0.54698457444322,0.308,0.412,0.179092073331219,"PARP14","Up in Mild"
"ACTB",8.07232447482452e-06,0.733885728342552,0.974,0.985,0.188173955832634,"ACTB","Up in Severe"
"SYTL1",9.03640458998833e-06,-0.562396333341862,0.227,0.304,0.210647627397218,"SYTL1","Up in Mild"
"FERMT3",9.3092043905146e-06,1.26821961152502,0.549,0.472,0.217006863547286,"FERMT3","Up in Severe"
"GLS",9.61143446409401e-06,-0.684410126309034,0.229,0.333,0.224052148792496,"GLS","Up in Mild"
"LYAR",9.72891980797685e-06,-0.732426502027919,0.222,0.336,0.226790849643748,"LYAR","Up in Mild"
